         證券代號      證券名稱
0      "0015"        富邦
1      "0050"    元大台灣50
2      "0051"   元大中型100
3      "0052"      富邦科技
4      "0053"      元大電子
5      "0054"    元大台商50
6      "0055"  元大MSCI金融
7      "0056"     元大高股息
8      "0057"      富邦摩台
9      "0058"      富邦發達
10     "0059"      富邦金融
11     "0060"       新台灣
12     "0061"     元大寶滬深
13   "006203"  元大MSCI台灣
14   "006204"    永豐臺灣加權
15   "006205"      富邦上証
16   "006206"    元大上證50
17   "006207"      FH滬深
18   "006208"     富邦台50
19     "0080"       恒中國
20     "0081"       恒香港
21   "008201"    BP上證50
22   "01001T"    土銀富邦R1
23   "01002T"    土銀國泰R1
24   "01003T"    兆豐新光R1
25   "01004T"    土銀富邦R2
26   "01007T"    兆豐國泰R2
27   "01008T"      駿馬R1
28       1101        台泥
29       1102        亞泥
30       1103        嘉泥
31       1104        環泥
32       1108        幸福
33       1109        信大
34       1110        東泥
35       1201        味全
36       1203        味王
37       1210        大成
38       1213        大飲
39       1215        卜蜂
40       1216        統一
41       1217       愛之味
42       1218        泰山
43       1219        福壽
44       1220        台榮
45       1225       福懋油
46       1227        佳格
47       1229        聯華
48       1231       聯華食
49       1232       大統益
50       1233        天仁
51       1234        黑松
52       1235        興泰
53       1236        宏亞
54       1301        台塑
55       1303        南亞
56       1304        台聚
57       1305        華夏
58       1307        三芳
59       1308        亞聚
60       1309       台達化
61       1310        台苯
62       1312        國喬
63      1312A       國喬特
64       1313        聯成
65       1314       中石化
66       1315        達新
67       1316        上曜
68       1319        東陽
69       1321        大洋
70       1323        永裕
71       1324        地球
72       1325        恆大
73       1326        台化
74       1337     再生-KY
75       1338     廣華-KY
76       1339        昭輝
77       1402       遠東新
78       1409        新纖
79       1410        南染
80       1413        宏洲
81       1414        東和
82       1416        廣豐
83       1417        嘉裕
84       1418        東華
85       1419        新紡
86       1423        利華
87       1432       大魯閣
88       1434        福懋
89       1435        中福
90       1436       華友聯
91       1437       勤益控
92       1438        裕豐
93       1439        中和
94       1440        南紡
95       1441        大東
96       1442        名軒
97       1443        立益
98       1444        力麗
99       1445        大宇
100      1446        宏和
101      1447        力鵬
102      1449        佳和
103      1451        年興
104      1452        宏益
105      1453        大將
106      1454        台富
107      1455        集盛
108      1456        怡華
109      1457        宜進
110      1459        聯發
111      1460        宏遠
112      1463        強盛
113      1464        得力
114      1465        偉全
115      1466        聚隆
116      1467        南緯
117      1468        昶和
118      1469        理隆
119      1470       大統染
120      1471        首利
121      1472       三洋紡
122      1473        台南
123      1474        弘裕
124      1475        本盟
125      1476        儒鴻
126      1477        聚陽
127      1503        士電
128      1504        東元
129      1506        正道
130      1507        永大
131      1512        瑞利
132      1513       中興電
133      1514        亞力
134      1515        力山
135      1516        川飛
136      1517        利奇
137      1519        華城
138      1521        大億
139      1522       堤維西
140      1524        耿鼎
141      1525        江申
142      1526        日馳
143      1527        鑽全
144      1528        恩德
145      1529        樂士
146      1530        亞崴
147      1531       高林股
148      1532        勤美
149      1533       車王電
150      1535        中宇
151      1536        和大
152      1537        廣隆
153      1538       正峰新
154      1539        巨庭
155      1540        喬福
156      1541        錩泰
157      1560        中砂
158      1582        信錦
159      1583        程泰
160      1589     永冠-KY
161      1590    亞德客-KY
162      1603        華電
163      1604        聲寶
164      1605        華新
165      1608        華榮
166      1609        大亞
167      1611        中電
168      1612        宏泰
169      1613        台一
170      1614       三洋電
171      1615        大山
172      1616        億泰
173      1617        榮星
174      1618        合機
175      1701        中化
176      1702        南僑
177      1704        榮化
178      1707       葡萄王
179      1708        東鹼
180      1709        和益
181      1710        東聯
182      1711        永光
183      1712        興農
184      1713        國化
185      1714        和桐
186      1715        萬洲
187      1717        長興
188      1718        中纖
189      1720        生達
190      1721        三晃
191      1722        台肥
192      1723        中碳
193      1724        台硝
194      1725        元禎
195      1726        永記
196      1727       中華化
197      1729        必翔
198      1730       花仙子
199      1731       美吾華
200      1732        毛寶
201      1733        五鼎
202      1734        杏輝
203      1735       日勝化
204      1736        喬山
205      1737        臺鹽
206      1762       中化生
207      1773        勝一
208      1789        神隆
209      1802        台玻
210      1805        寶徠
211      1806        冠軍
212      1808        潤隆
213      1809        中釉
214      1810        和成
215      1902        台紙
216      1903        士紙
217      1904        正隆
218      1905        華紙
219      1906        寶隆
220      1907       永豐餘
221      1909        榮成
222      2002        中鋼
223     2002A       中鋼特
224      2006      東和鋼鐵
225      2007        燁興
226      2008       高興昌
227      2009       第一銅
228      2010        春源
229      2012        春雨
